url,price_cleaned,period,title,property_type,bedrooms,bathrooms,property_address,size_sqm,self_contained,condition,furnishing,toilets,legal_and_agreement_fee,caution_fee,minimum_rental_period,amenities_count,amenities,estate_name,agency_fee,total_fee,service_charge_fee,service_charge_covers,subtype
https://jiji.ng/jakande/houses-apartments-for-rent/furnished-2bdrm-apartment-in-jakande-for-rent-wEW1at8nhZtxdO3t8a0xe8bS.html?page=8&pos=6&cur_pos=6&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=440,6000000,per month,Furnished 2bdrm Apartment in Jakande for rent,Apartment,2,2,Primero Nicon town,45,No,Newly-Built,Furnished,2,50000,100000,1 Month,17,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",,,,,,
https://jiji.ng/katampe-extension/houses-apartments-for-rent/studio-apartment-in-katampe-extension-for-rent-BE904kWBbRyBySJ4YwxfgzQ3.html?page=2&pos=15&cur_pos=15&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=305,1600000,per annum,Studio Apartment in Katampe Extension for rent,Studio Apartment,1,1,Katampe Extension,500,,Fairly Used,Semi-Furnished,1,,,12 Month,11,"24-hour Electricity, Balcony, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",Katampe Extension,,,,,
https://jiji.ng/obafemi-owode/houses-apartments-for-rent/2bdrm-apartment-in-magboro-obafemi-owode-for-rent-ae6udvDRHdffEYHAONfx2NvK.html?page=6&pos=9&cur_pos=9&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=395,1500000,per annum,"2bdrm Apartment in Magboro, Obafemi-Owode for rent",Apartment,2,2,Magboro,700,,Newly-Built,Semi-Furnished,3,150000,150000,12 Month,12,"Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, Wardrobe",Magboro,300000,600000,,,
https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-pvcVJT5fsUpHSvcRPFWO7m3L.html?page=5&pos=10&cur_pos=10&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=105,2000000,per annum,2bdrm Block of Flats in Port-Harcourt for rent,Block of Flats,2,3,ADA George,465,,Fairly Used,Unfurnished,,,,,0,,,,,,,
https://jiji.ng/obio-akpor/houses-apartments-for-rent/2bdrm-block-of-flats-in-rumuogholu-obio-akpor-for-rent-Czqw16SK7mCzWHfa6XXM9SGv.html?page=10&pos=9&cur_pos=9&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=224,2800000,per annum,"2bdrm Block of Flats in Rumuogholu, Obio-Akpor for rent",Block of Flats,2,2,SARS road rumuogholu Port Harcourt,450,Yes,Newly-Built,Unfurnished,1,10,20,12 Month,8,"24-hour Electricity, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling",Rumuogholu,5,35,,,
https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-shell-corperative-port-harcourt-for-rent-zG63FwWSQ5il5MHdlj9GaQYv.html?page=5&pos=19&cur_pos=19&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=114,2000000,per annum,"2bdrm Block of Flats in Shell Corperative, Port-Harcourt for rent",Block of Flats,2,3,Eneka link Road,465,,Newly-Built,Unfurnished,,,,,0,,Shell corperative,,,,,
https://jiji.ng/ikeja/houses-apartments-for-rent/furnished-3bdrm-duplex-in-ikeja-for-rent-mgQGi4kDuTWHD6VWavqfqlEZ.html?page=9&pos=17&cur_pos=17&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=475,15000000,per annum,Furnished 3bdrm Duplex in Ikeja for rent,Duplex,3,3,Allen Avenue,700,,Fairly Used,Furnished,3,,,12 Month,14,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe, Wi-Fi",,,,,,
https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-duplex-in-port-harcourt-for-rent-WyZBMJQFRnvvo6zWZSHBl3r.html?page=7&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=155,3000000,per annum,2bdrm Duplex in Port-Harcourt for rent,Duplex,2,3,Ada George,656,,Fairly Used,Unfurnished,,,,,0,,,,,,,
https://jiji.ng/allen-avenue/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-alfred-court-allen-avenue-for-rent-fYuwMpWRdFHwJLtKWfMcXxR1.html?page=10&pos=24&cur_pos=24&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=506,20000000,per annum,"4bdrm Townhouse / Terrace in Alfred Court, Allen Avenue for rent",Townhouse / Terrace,4,4,Bolanle close Allen avenue ikeja,300,,Newly-Built,Semi-Furnished,5,10,10,12 Month,17,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",Alfred court,10,30,2500000,"Security, generator service, water, dustbin etc",
https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-tNzEjY04e71wdxrJj9v3M3nk.html?page=11&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=242,2000000,per annum,2bdrm Block of Flats in Port-Harcourt for rent,Block of Flats,2,3,Ada George by Chinda,465,,Fairly Used,Unfurnished,,,,12 Month,11,"Air Conditioning, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",,,,,,
